PRIMROSE TOWER 17A TINIBU STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAGOS, Lagos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Settlement Id :  113321879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Date:  10/2/2019 to 10/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment Due Date : ,,,,12/11/2019
Settlement Currency : ,,,,USD,,Transaction Currency : ,,,,,,,NGN,,,,,,,,,,,,,,,,,,,
,,,,,,,Tran,Orig,,Rcv,,,,,,,FX,,,,,,,,,Fx Rev,,,Commission,,,
Tran Date,Tran Id,,,Ref #,,Prod,Type,Cntry,,Cntry,,FX Rate,,,,FX Date,Margin,,,Base Amt,,Fee Amt,,,,Share Amt,,,Amt,,,Total
,,Agent Name : ,,,FCMB - #001 - LAGOS - HEAD OFFICE BRANCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Legacy ID : ,,,652825,,,,,Store Number : ,,,,001,,,,,,,,,,,,,,,,,,
21/10/2019,2242687408,,,39943112,,MT,REC,DEU,,NGA,,395.00850000000,,,,17/10/2019,0.50,,trn,0.00,"1,975.04",,,,(11.85),,,,(355.51),,,367.36 
,,,,,,,,,,,,.00281690141,,,,21/10/2019,,,stl,0.00,0.00,,,,(0.03),,,,(1.00),,,1.03 
21/10/2019,2242687408,,,39943112,,MT,REC,DEU,,NGA,,395.00850000000,,,,17/10/2019,0.50,,trn,0.00,0.00,,,,0.00,,,,17.78,,mk,17.78
,,,,,,,,,,,,.00281690141,,,,21/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.05,,,0.05
31/10/2019,2245890749,,,43777394,,MT,REC,USA,,NGA,,355.00000000000,,,,28/10/2019,0.45,,trn,0.00,"2,840.00",,,,(19.17),,,,(511.20),,,530.37 
,,,,,,,,,,,,.00281690141,,,,31/10/2019,,,stl,0.00,0.00,,,,(0.05),,,,(1.44),,,1.49 
31/10/2019,2245890749,,,43777394,,MT,REC,USA,,NGA,,355.00000000000,,,,28/10/2019,0.45,,trn,0.00,0.00,,,,0.00,,,,25.56,,mk,25.56
,,,,,,,,,,,,.00281690141,,,,31/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.07,,,0.07
31/10/2019,2246696942,,,79873530,,MT,SEN,NGA,,ESP,,.00252274889,,,,31/10/2019,2.00,,trn,0.00,0.00,,,,"-1,420.00",,,,71.00,,mk,"1,349.00"
,,,,,,,,,,,,.00281690141,,,,31/10/2019,,,stl,0.00,0.00,,,,(4.00),,,,0.20,,,3.80 
Account Number : ,,,100711693 - 100712849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agent Name : ,,,FCMB - #002 - ABUJA - ABUJA BRANCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Legacy ID : ,,,653997,,,,,Store Number : ,,,,002,,,,,,,,,,,,,,,,,,
10/10/2019,2239862041,,,44797176,,MT,REC,GBR,,NGA,,434.87500000000,,,,08/10/2019,1.50,,trn,0.00,"4,348.75",,,,(260.93),,,,(782.78),,,"1,043.71"
,,,,,,,,,,,,.00281690141,,,,10/10/2019,,,stl,0.00,0.00,,,,(0.74),,,,(2.21),,,2.95 
10/10/2019,2239862041,,,44797176,,MT,REC,GBR,,NGA,,434.87500000000,,,,08/10/2019,1.50,,trn,0.00,0.00,,,,0.00,,,,39.14,,mk,39.14
,,,,,,,,,,,,.00281690141,,,,10/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.11,,,0.11
10/10/2019,2239862041,,,44797176,,MT,REC,GBR,,NGA,,434.87500000000,,,,08/10/2019,1.50,,trn,0.00,0.00,,,,0.00,,,,13.05,,mk,13.05
,,,,,,,,,,,,.00281690141,,,,10/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.04,,,0.04
14/10/2019,2240866457,,,82858172,,MT,REC,FRA,,NGA,,391.13900000000,,,,11/10/2019,0.50,,trn,0.00,"6,649.36",,,,(120.61),,,,"-1,196.89",,,"1,317.50"
,,,,,,,,,,,,.00281690141,,,,14/10/2019,,,stl,0.00,0.00,,,,(0.34),,,,(3.37),,,3.71 
14/10/2019,2240866457,,,82858172,,MT,REC,FRA,,NGA,,391.13900000000,,,,11/10/2019,0.50,,trn,0.00,0.00,,,,0.00,,,,59.84,,mk,59.84
,,,,,,,,,,,,.00281690141,,,,14/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.17,,,0.17
14/10/2019,2240866457,,,82858172,,MT,REC,FRA,,NGA,,391.13900000000,,,,11/10/2019,0.50,,trn,0.00,0.00,,,,0.00,,,,6.03,,mk,6.03
,,,,,,,,,,,,.00281690141,,,,14/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.02,,,0.02
16/10/2019,2241638859,,,87419521,,MT,REC,SLE,,NGA,,.03771944935,,,,14/10/2019,1.10,,trn,0.00,"2,640.36",,,,(121.84),,,,(475.27),,,597.11 
,,,,,,,,,,,,.00281690141,,,,16/10/2019,,,stl,0.00,0.00,,,,(0.34),,,,(1.34),,,1.68 
16/10/2019,2241638859,,,87419521,,MT,REC,SLE,,NGA,,.03771944935,,,,14/10/2019,1.10,,trn,0.00,0.00,,,,0.00,,,,6.09,,mk,6.09
,,,,,,,,,,,,.00281690141,,,,16/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.02,,,0.02
16/10/2019,2241638859,,,87419521,,MT,REC,SLE,,NGA,,.03771944935,,,,14/10/2019,1.10,,trn,0.00,0.00,,,,0.00,,,,23.76,,mk,23.76
,,,,,,,,,,,,.00281690141,,,,16/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.07,,,0.07
21/10/2019,2242634270,,,67047214,,MT,REC,GIN,,NGA,,355.00000000000,,,,17/10/2019,0.60,,trn,0.00,"4,615.00",,,,(42.60),,,,(830.70),,,873.30 
,,,,,,,,,,,,.00281690141,,,,21/10/2019,,,stl,0.00,0.00,,,,(0.12),,,,(2.34),,,2.46 
21/10/2019,2242634270,,,67047214,,MT,REC,GIN,,NGA,,355.00000000000,,,,17/10/2019,0.60,,trn,0.00,0.00,,,,0.00,,,,41.54,,mk,41.54
,,,,,,,,,,,,.00281690141,,,,21/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.12,,,0.12
21/10/2019,2242634270,,,67047214,,MT,REC,GIN,,NGA,,355.00000000000,,,,17/10/2019,0.60,,trn,0.00,0.00,,,,0.00,,,,2.13,,mk,2.13
,,,,,,,,,,,,.00281690141,,,,21/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.01,,,0.01
28/10/2019,2245452798,,,97266754,,MT,REC,CHN,,NGA,,355.00000000000,,,,27/10/2019,2.90,,trn,0.00,"11,360.00",,,,"-1,375.41",,,,"-2,044.80",,,"3,420.21"
,,,,,,,,,,,,.00281690141,,,,28/10/2019,,,stl,0.00,0.00,,,,(3.87),,,,(5.76),,,9.63 
28/10/2019,2245452798,,,97266754,,MT,REC,CHN,,NGA,,355.00000000000,,,,27/10/2019,2.90,,trn,0.00,0.00,,,,0.00,,,,102.24,,mk,102.24
,,,,,,,,,,,,.00281690141,,,,28/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.29,,,0.29
28/10/2019,2245452798,,,97266754,,MT,REC,CHN,,NGA,,355.00000000000,,,,27/10/2019,2.90,,trn,0.00,0.00,,,,0.00,,,,68.77,,mk,68.77
,,,,,,,,,,,,.00281690141,,,,28/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.19,,,0.19
29/10/2019,2243753350,,,58180575,,MT,REC,USA,,NGA,,355.00000000000,,,,21/10/2019,0.50,,trn,0.00,"1,771.45",,,,(60.31),,,,(318.86),,,379.17 
,,,,,,,,,,,,.00281690141,,,,29/10/2019,,,stl,0.00,0.00,,,,(0.17),,,,(0.90),,,1.07 
29/10/2019,2243753350,,,58180575,,MT,REC,USA,,NGA,,355.00000000000,,,,21/10/2019,0.50,,trn,0.00,0.00,,,,0.00,,,,3.02,,mk,3.02
,,,,,,,,,,,,.00281690141,,,,29/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.01,,,0.01
29/10/2019,2243753350,,,58180575,,MT,REC,USA,,NGA,,355.00000000000,,,,21/10/2019,0.50,,trn,0.00,0.00,,,,0.00,,,,15.94,,mk,15.94
,,,,,,,,,,,,.00281690141,,,,29/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.04,,,0.04
100711693 - 100712849,,,,,,,,,Account Total:,,,,,Receive,,,,6,,0.00,0.00,,,,"-1,981.70",,,,"-5,267.75",,"7,249.45",
,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,(5.58),,,,(14.83),,20.41 ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Account Net Due : ,,,(20.41),,
Account Number : ,,,100711693 - 100712850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agent Name : ,,,FCMB - #003 - PORTHARCOURT - PORT HARCOURT BRANCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Legacy ID : ,,,653998,,,,,Store Number : ,,,,003,,,,,,,,,,,,,,,,,,
02/10/2019,2236059080,,,50758874,,MT,REC,USA,,NGA,,355.00000000000,,,,26/09/2019,0.45,,trn,0.00,"2,840.00",,,,(47.93),,,,(511.20),,,559.13 
,,,,,,,,,,,,.00281690141,,,,02/10/2019,,,stl,0.00,0.00,,,,(0.14),,,,(1.44),,,1.58 
02/10/2019,2236059080,,,50758874,,MT,REC,USA,,NGA,,355.00000000000,,,,26/09/2019,0.45,,trn,0.00,0.00,,,,0.00,,,,2.40,,mk,2.40
,,,,,,,,,,,,.00281690141,,,,02/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.01,,,0.01
02/10/2019,2236059080,,,50758874,,MT,REC,USA,,NGA,,355.00000000000,,,,26/09/2019,0.45,,trn,0.00,0.00,,,,0.00,,,,25.56,,mk,25.56
,,,,,,,,,,,,.00281690141,,,,02/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.07,,,0.07
07/10/2019,2236361712,,,17235626,,MT,REC,USA,,NGA,,355.00000000000,,,,27/09/2019,0.45,,trn,0.00,"2,485.00",,,,(159.75),,,,(447.30),,,607.05 
,,,,,,,,,,,,.00281690141,,,,07/10/2019,,,stl,0.00,0.00,,,,(0.45),,,,(1.26),,,1.71 
07/10/2019,2236361712,,,17235626,,MT,REC,USA,,NGA,,355.00000000000,,,,27/09/2019,0.45,,trn,0.00,0.00,,,,0.00,,,,7.99,,mk,7.99
,,,,,,,,,,,,.00281690141,,,,07/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.02,,,0.02
07/10/2019,2236361712,,,17235626,,MT,REC,USA,,NGA,,355.00000000000,,,,27/09/2019,0.45,,trn,0.00,0.00,,,,0.00,,,,22.37,,mk,22.37
,,,,,,,,,,,,.00281690141,,,,07/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.06,,,0.06
07/10/2019,2238987737,,,37583601,,MT,REC,SAU,,NGA,,94.65152242465,,,,05/10/2019,2.10,,trn,0.00,"18,457.05",,,,"-1,190.62",,,,"-3,322.27",,,"4,512.89"
,,,,,,,,,,,,.00281690141,,,,07/10/2019,,,stl,0.00,0.00,,,,(3.35),,,,(9.36),,,12.71 
07/10/2019,2238987737,,,37583601,,MT,REC,SAU,,NGA,,94.65152242465,,,,05/10/2019,2.10,,trn,0.00,0.00,,,,0.00,,,,59.53,,mk,59.53
,,,,,,,,,,,,.00281690141,,,,07/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.17,,,0.17
07/10/2019,2238987737,,,37583601,,MT,REC,SAU,,NGA,,94.65152242465,,,,05/10/2019,2.10,,trn,0.00,0.00,,,,0.00,,,,166.11,,mk,166.11
,,,,,,,,,,,,.00281690141,,,,07/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.47,,,0.47
08/10/2019,2239366264,,,89261140,,MT,REC,USA,,NGA,,355.00000000000,,,,06/10/2019,0.50,,trn,0.00,"1,771.45",,,,(56.80),,,,(318.86),,,375.66 
,,,,,,,,,,,,.00281690141,,,,08/10/2019,,,stl,0.00,0.00,,,,(0.16),,,,(0.90),,,1.06 
08/10/2019,2239366264,,,89261140,,MT,REC,USA,,NGA,,355.00000000000,,,,06/10/2019,0.50,,trn,0.00,0.00,,,,0.00,,,,15.94,,mk,15.94
,,,,,,,,,,,,.00281690141,,,,08/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.04,,,0.04
08/10/2019,2239366264,,,89261140,,MT,REC,USA,,NGA,,355.00000000000,,,,06/10/2019,0.50,,trn,0.00,0.00,,,,0.00,,,,2.84,,mk,2.84
,,,,,,,,,,,,.00281690141,,,,08/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.01,,,0.01
14/10/2019,2240523440,,,88779089,,MT,REC,SAU,,NGA,,94.65152242465,,,,10/10/2019,2.10,,trn,0.00,"10,884.93",,,,(568.08),,,,"-1,959.29",,,"2,527.37"
,,,,,,,,,,,,.00281690141,,,,14/10/2019,,,stl,0.00,0.00,,,,(1.60),,,,(5.52),,,7.12 
14/10/2019,2240523440,,,88779089,,MT,REC,SAU,,NGA,,94.65152242465,,,,10/10/2019,2.10,,trn,0.00,0.00,,,,0.00,,,,28.40,,mk,28.40
,,,,,,,,,,,,.00281690141,,,,14/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.08,,,0.08
14/10/2019,2240523440,,,88779089,,MT,REC,SAU,,NGA,,94.65152242465,,,,10/10/2019,2.10,,trn,0.00,0.00,,,,0.00,,,,97.96,,mk,97.96
,,,,,,,,,,,,.00281690141,,,,14/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.28,,,0.28
15/10/2019,2239757954,,,92312572,,MT,REC,USA,,NGA,,355.00000000000,,,,07/10/2019,0.45,,trn,0.00,"2,840.00",,,,(143.78),,,,(511.20),,,654.98 
,,,,,,,,,,,,.00281690141,,,,15/10/2019,,,stl,0.00,0.00,,,,(0.41),,,,(1.44),,,1.85 
15/10/2019,2239757954,,,92312572,,MT,REC,USA,,NGA,,355.00000000000,,,,07/10/2019,0.45,,trn,0.00,0.00,,,,0.00,,,,25.56,,mk,25.56
,,,,,,,,,,,,.00281690141,,,,15/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.07,,,0.07
15/10/2019,2239757954,,,92312572,,MT,REC,USA,,NGA,,355.00000000000,,,,07/10/2019,0.45,,trn,0.00,0.00,,,,0.00,,,,7.19,,mk,7.19
,,,,,,,,,,,,.00281690141,,,,15/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.02,,,0.02
21/10/2019,2243424445,,,91191705,,MT,REC,USA,,NGA,,355.00000000000,,,,19/10/2019,0.45,,trn,0.00,"2,840.00",,,,(111.83),,,,(511.20),,,623.03 
,,,,,,,,,,,,.00281690141,,,,21/10/2019,,,stl,0.00,0.00,,,,(0.32),,,,(1.44),,,1.76 
21/10/2019,2243424445,,,91191705,,MT,REC,USA,,NGA,,355.00000000000,,,,19/10/2019,0.45,,trn,0.00,0.00,,,,0.00,,,,25.56,,mk,25.56
,,,,,,,,,,,,.00281690141,,,,21/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.07,,,0.07
21/10/2019,2243424445,,,91191705,,MT,REC,USA,,NGA,,355.00000000000,,,,19/10/2019,0.45,,trn,0.00,0.00,,,,0.00,,,,5.59,,mk,5.59
,,,,,,,,,,,,.00281690141,,,,21/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.02,,,0.02
28/10/2019,2244657072,,,96105563,,MT,REC,USA,,NGA,,355.00000000000,,,,24/10/2019,1.25,,trn,0.00,"3,195.00",,,,(66.56),,,,(575.10),,,641.66 
,,,,,,,,,,,,.00281690141,,,,28/10/2019,,,stl,0.00,0.00,,,,(0.19),,,,(1.62),,,1.81 
28/10/2019,2244657072,,,96105563,,MT,REC,USA,,NGA,,355.00000000000,,,,24/10/2019,1.25,,trn,0.00,0.00,,,,0.00,,,,28.76,,mk,28.76
,,,,,,,,,,,,.00281690141,,,,28/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.08,,,0.08
28/10/2019,2244657072,,,96105563,,MT,REC,USA,,NGA,,355.00000000000,,,,24/10/2019,1.25,,trn,0.00,0.00,,,,0.00,,,,3.33,,mk,3.33
,,,,,,,,,,,,.00281690141,,,,28/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.01,,,0.01
100711693 - 100712850,,,,,,,,,Account Total:,,,,,Receive,,,,8,,0.00,0.00,,,,"-2,345.35",,,,"-7,631.33",,"9,976.68",
,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,(6.62),,,,(21.50),,28.12 ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Account Net Due : ,,,(28.12),,
Account Number : ,,,100711693 - 100712851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agent Name : ,,,FCMB - #004 - KANO  - KANO BRANCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Legacy ID : ,,,653999,,,,,Store Number : ,,,,004,,,,,,,,,,,,,,,,,,
07/10/2019,2238256835,,,60595961,,MT,REC,CAN,,NGA,,266.15684510320,,,,03/10/2019,0.30,,trn,0.00,"2,661.57",,,,(20.76),,,,(479.08),,,499.84 
,,,,,,,,,,,,.00281690141,,,,07/10/2019,,,stl,0.00,0.00,,,,(0.06),,,,(1.35),,,1.41 
07/10/2019,2238256835,,,60595961,,MT,REC,CAN,,NGA,,266.15684510320,,,,03/10/2019,0.30,,trn,0.00,0.00,,,,0.00,,,,23.95,,mk,23.95
,,,,,,,,,,,,.00281690141,,,,07/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.07,,,0.07
11/10/2019,2240306278,,,27613334,,MT,REC,USA,,NGA,,355.00000000000,,,,09/10/2019,0.45,,trn,0.00,"2,840.00",,,,(95.85),,,,(511.20),,,607.05 
,,,,,,,,,,,,.00281690141,,,,11/10/2019,,,stl,0.00,0.00,,,,(0.27),,,,(1.44),,,1.71 
11/10/2019,2240306278,,,27613334,,MT,REC,USA,,NGA,,355.00000000000,,,,09/10/2019,0.45,,trn,0.00,0.00,,,,0.00,,,,4.79,,mk,4.79
,,,,,,,,,,,,.00281690141,,,,11/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.01,,,0.01
11/10/2019,2240306278,,,27613334,,MT,REC,USA,,NGA,,355.00000000000,,,,09/10/2019,0.45,,trn,0.00,0.00,,,,0.00,,,,25.56,,mk,25.56
,,,,,,,,,,,,.00281690141,,,,11/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.07,,,0.07
17/10/2019,2242185967,,,37059749,,MT,REC,USA,,NGA,,355.00000000000,,,,15/10/2019,1.25,,trn,0.00,"3,546.45",,,,(177.50),,,,(638.36),,,815.86 
,,,,,,,,,,,,.00281690141,,,,17/10/2019,,,stl,0.00,0.00,,,,(0.50),,,,(1.80),,,2.30 
17/10/2019,2242185967,,,37059749,,MT,REC,USA,,NGA,,355.00000000000,,,,15/10/2019,1.25,,trn,0.00,0.00,,,,0.00,,,,8.88,,mk,8.88
,,,,,,,,,,,,.00281690141,,,,17/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.03,,,0.03
17/10/2019,2242185967,,,37059749,,MT,REC,USA,,NGA,,355.00000000000,,,,15/10/2019,1.25,,trn,0.00,0.00,,,,0.00,,,,31.92,,mk,31.92
,,,,,,,,,,,,.00281690141,,,,17/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.09,,,0.09
23/10/2019,2244076881,,,56686394,,MT,REC,OMN,,NGA,,922.00607744680,,,,22/10/2019,1.20,,trn,0.00,"1,844.01",,,,(150.47),,,,(331.92),,,482.39 
,,,,,,,,,,,,.00281690141,,,,23/10/2019,,,stl,0.00,0.00,,,,(0.42),,,,(0.93),,,1.35 
23/10/2019,2244076881,,,56686394,,MT,REC,OMN,,NGA,,922.00607744680,,,,22/10/2019,1.20,,trn,0.00,0.00,,,,0.00,,,,16.60,,mk,16.60
,,,,,,,,,,,,.00281690141,,,,23/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.05,,,0.05
23/10/2019,2244076881,,,56686394,,MT,REC,OMN,,NGA,,922.00607744680,,,,22/10/2019,1.20,,trn,0.00,0.00,,,,0.00,,,,7.52,,mk,7.52
,,,,,,,,,,,,.00281690141,,,,23/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.02,,,0.02
30/10/2019,2245977262,,,73400236,,MT,REC,CMR,,NGA,,.60067116475,,,,29/10/2019,0.60,,trn,0.00,"23,125.84",,,,(720.81),,,,"-4,162.65",,,"4,883.46"
,,,,,,,,,,,,.00281690141,,,,30/10/2019,,,stl,0.00,0.00,,,,(2.03),,,,(11.73),,,13.76 
30/10/2019,2245977262,,,73400236,,MT,REC,CMR,,NGA,,.60067116475,,,,29/10/2019,0.60,,trn,0.00,0.00,,,,0.00,,,,36.04,,mk,36.04
,,,,,,,,,,,,.00281690141,,,,30/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.10,,,0.10
30/10/2019,2245977262,,,73400236,,MT,REC,CMR,,NGA,,.60067116475,,,,29/10/2019,0.60,,trn,0.00,0.00,,,,0.00,,,,208.13,,mk,208.13
,,,,,,,,,,,,.00281690141,,,,30/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.59,,,0.59
100711693 - 100712851,,,,,,,,,Account Total:,,,,,Receive,,,,5,,0.00,0.00,,,,"-1,165.39",,,,"-5,759.82",,"6,925.21",
,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,(3.28),,,,(16.22),,19.50 ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Account Net Due : ,,,(19.50),,
Account Number : ,,,100711693 - 100712854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agent Name : ,,,FCMB - #007 - IKEJA - IKEJA BRANCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Legacy ID : ,,,654002,,,,,Store Number : ,,,,007,,,,,,,,,,,,,,,,,,
02/10/2019,2237111820,,,87163824,,MT,REC,ARE,,NGA,,96.65650185100,,,,30/09/2019,0.13,,trn,0.00,"1,449.85",,,,(25.13),,,,(260.97),,,286.10 
,,,,,,,,,,,,.00281690141,,,,02/10/2019,,,stl,0.00,0.00,,,,(0.07),,,,(0.74),,,0.81 
02/10/2019,2237111820,,,87163824,,MT,REC,ARE,,NGA,,96.65650185100,,,,30/09/2019,0.13,,trn,0.00,0.00,,,,0.00,,,,13.05,,mk,13.05
,,,,,,,,,,,,.00281690141,,,,02/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.04,,,0.04
02/10/2019,2237358745,,,94455940,,MT,REC,USA,,NGA,,355.00000000000,,,,01/10/2019,0.50,,trn,0.00,"3,546.45",,,,(177.50),,,,(638.36),,,815.86 
,,,,,,,,,,,,.00281690141,,,,02/10/2019,,,stl,0.00,0.00,,,,(0.50),,,,(1.80),,,2.30 
02/10/2019,2237358745,,,94455940,,MT,REC,USA,,NGA,,355.00000000000,,,,01/10/2019,0.50,,trn,0.00,0.00,,,,0.00,,,,8.88,,mk,8.88
,,,,,,,,,,,,.00281690141,,,,02/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.03,,,0.03
02/10/2019,2237358745,,,94455940,,MT,REC,USA,,NGA,,355.00000000000,,,,01/10/2019,0.50,,trn,0.00,0.00,,,,0.00,,,,31.92,,mk,31.92
,,,,,,,,,,,,.00281690141,,,,02/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.09,,,0.09
03/10/2019,2237642793,,,25072525,,MT,REC,USA,,NGA,,355.00000000000,,,,01/10/2019,0.45,,trn,0.00,"1,420.00",,,,(15.98),,,,(255.60),,,271.58 
,,,,,,,,,,,,.00281690141,,,,03/10/2019,,,stl,0.00,0.00,,,,(0.05),,,,(0.72),,,0.77 
03/10/2019,2237642793,,,25072525,,MT,REC,USA,,NGA,,355.00000000000,,,,01/10/2019,0.45,,trn,0.00,0.00,,,,0.00,,,,12.78,,mk,12.78
,,,,,,,,,,,,.00281690141,,,,03/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.04,,,0.04
07/10/2019,2238309384,,,68029067,,MT,REC,USA,,NGA,,355.00000000000,,,,03/10/2019,1.25,,trn,0.00,"3,546.45",,,,(124.25),,,,(638.36),,,762.61 
,,,,,,,,,,,,.00281690141,,,,07/10/2019,,,stl,0.00,0.00,,,,(0.35),,,,(1.80),,,2.15 
07/10/2019,2238309384,,,68029067,,MT,REC,USA,,NGA,,355.00000000000,,,,03/10/2019,1.25,,trn,0.00,0.00,,,,0.00,,,,31.92,,mk,31.92
,,,,,,,,,,,,.00281690141,,,,07/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.09,,,0.09
07/10/2019,2238309384,,,68029067,,MT,REC,USA,,NGA,,355.00000000000,,,,03/10/2019,1.25,,trn,0.00,0.00,,,,0.00,,,,6.21,,mk,6.21
,,,,,,,,,,,,.00281690141,,,,07/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.02,,,0.02
18/10/2019,2242601476,,,26752177,,MT,REC,ITA,,NGA,,395.00850000000,,,,17/10/2019,2.00,,trn,0.00,"4,345.09",,,,(260.71),,,,(782.12),,,"1,042.83"
,,,,,,,,,,,,.00281690141,,,,18/10/2019,,,stl,0.00,0.00,,,,(0.73),,,,(2.20),,,2.93 
18/10/2019,2242601476,,,26752177,,MT,REC,ITA,,NGA,,395.00850000000,,,,17/10/2019,2.00,,trn,0.00,0.00,,,,0.00,,,,13.04,,mk,13.04
,,,,,,,,,,,,.00281690141,,,,18/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.04,,,0.04
18/10/2019,2242601476,,,26752177,,MT,REC,ITA,,NGA,,395.00850000000,,,,17/10/2019,2.00,,trn,0.00,0.00,,,,0.00,,,,39.11,,mk,39.11
,,,,,,,,,,,,.00281690141,,,,18/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.11,,,0.11
28/10/2019,2244319365,,,73246675,,MT,REC,GBR,,NGA,,456.81400000000,,,,23/10/2019,1.50,,trn,0.00,"2,284.07",,,,(95.93),,,,(411.13),,,507.06 
,,,,,,,,,,,,.00281690141,,,,28/10/2019,,,stl,0.00,0.00,,,,(0.27),,,,(1.16),,,1.43 
28/10/2019,2244319365,,,73246675,,MT,REC,GBR,,NGA,,456.81400000000,,,,23/10/2019,1.50,,trn,0.00,0.00,,,,0.00,,,,4.80,,mk,4.80
,,,,,,,,,,,,.00281690141,,,,28/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.01,,,0.01
28/10/2019,2244319365,,,73246675,,MT,REC,GBR,,NGA,,456.81400000000,,,,23/10/2019,1.50,,trn,0.00,0.00,,,,0.00,,,,20.56,,mk,20.56
,,,,,,,,,,,,.00281690141,,,,28/10/2019,,,stl,0.00,0.00,,,,0.00,,,,0.06,,,0.06
100711693 - 100712854,,,,,,,,,Account Total:,,,,,Receive,,,,6,,0.00,0.00,,,,(699.50),,,,"-2,804.27",,"3,503.77",
,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,(1.97),,,,(7.89),,9.86 ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Account Net Due : ,,,(9.86),,
Account Number : ,,,100711693 - 100712855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agent Name : ,,,FCMB - #008 - WARRI - WARRI BRANCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Legacy ID : ,,,654003,,,,,Store Number : ,,,,008,,,,,,,,,,,,,,,,,,
